Repeat, dataset, non-iid, non-iid-class, non-iid-strategy, normalize, B, C, E, max_rounds, mu, name, num_tolerance, opt_name, sparsity, embedding_dim, hidden_units, loss, metrics, name, lr, best_metric$$test_accuracy, total_time, total_rounds, server_send, server_receive, time_detail
5, mnist, True, 1, average, True, 16, 0.1, 10, 3000, 0.01, FedProx, 100, fedyogi, 0.01, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.1, 0.97200(0.00444), 109.09333(24.38543), 943.20000(211.97585), 238.18211(53.52139), 35.18772(7.90516), 0.03053(0.00058), 4.11822(0.00447), 0.25522(0.00116), 0.01457(0.00016), 0.05168(0.00017), 1.36977(0.00318), 0.59048(0.00193), 0.00127(0.00002)
1, mnist, False, 1, average, True, 16, 0.1, 10, 3000, 0.01, FedOpt, 100, fedadam, 0.01, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.1, 0.28933(0.00000), 10.40000(0.00000), 102.00000(0.00000), 51.43180(0.00000), 4.00046(0.00000), 0.02654(0.00000), 2.64445(0.00000), 0.21526(0.00000), 0.02338(0.00000), 0.04946(0.00000), 2.12022(0.00000), 0.54157(0.00000), 0.00120(0.00000)
2, mnist, True, 1, average, True, 16, 0.1, 10, 3000, 0.1, FedProx, 100, fedyogi, 0.01, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.1, 0.92617(0.00017), 67.73333(12.80000), 586.50000(111.50000), 148.11798(28.15304), 21.88062(4.15881), 0.03044(0.00038), 4.12667(0.00102), 0.25039(0.00070), 0.01436(0.00007), 0.05189(0.00012), 1.36337(0.00007), 0.59568(0.00031), 0.00124(0.00001)
5, femnist, True, None, natural, True, 8, 0.1, 10, 3000, 0.01, FedProx, 500, fedyogi, 0.01, None, None, categorical_crossentropy, ['accuracy'], LeNet, 0.1, 0.78459(0.00816), 52.16000(3.61435), 645.00000(44.46572), 12.33403(0.85037), 2.29317(0.15809), 0.02484(0.00066), 2.87191(0.00646), 0.07868(0.00099), 0.00173(0.00003), 0.05058(0.00025), 0.79188(0.00141), 0.44132(0.00180), 0.00119(0.00002)
5, celeba, True, None, natural, True, 4, 0.1, 10, 3000, 0.01, FedProx, 100, fedyogi, 0.01, None, None, categorical_crossentropy, ['accuracy'], LeNet, 0.05, 0.85533(0.01759), 10.25333(1.92845), 181.20000(34.11979), 11.48357(2.16094), 1.77028(0.33294), 0.02049(0.00045), 1.43657(0.00505), 0.09295(0.00134), 0.00383(0.00018), 0.05702(0.00074), 0.83945(0.00402), 0.50218(0.00101), 0.00132(0.00005)
3, semantic140, True, None, natural, False, 4, 0.1, 10, 10000, 0.01, FedProx, 500, fedyogi, 0.01, 0, 64, binary_crossentropy, ['binary_accuracy'], StackedLSTM, 0.0001, 0.75236(0.00734), 1057.80556(33.50237), 1936.33333(81.25816), 79.49358(3.20884), 17.92823(0.59800), 0.02183(0.00024), 22.02657(0.17805), 0.21103(0.00891), 0.00249(0.00001), 0.05031(0.00026), 1.33251(0.00653), 0.59792(0.00468), 0.00116(0.00001)
1, mnist, False, None, average, True, 1000, 1.0, 1, 3000, 0.01, FedSTC, 100, fedyogi, 0.1, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.5, 0.98467(0.00000), 173.25000(0.00000), 1044.00000(0.00000), 92.12280(0.00000), 125.40737(0.00000), 0.15461(0.00000), 2.83916(0.00000), 1.27411(0.00000), 1.94232(0.00000), 0.07489(0.00000), 0.98520(0.00000), 0.46682(0.00000), 0.00092(0.00000)
1, mnist, True, 1, average, True, 1000, 1.0, 1, 3000, 0.01, FedSTC, 100, fedyogi, 0.1, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.5, 0.98467(0.00000), 169.85000(0.00000), 1031.00000(0.00000), 91.04722(0.00000), 123.79220(0.00000), 0.15584(0.00000), 2.84054(0.00000), 1.27171(0.00000), 1.88866(0.00000), 0.07489(0.00000), 0.97643(0.00000), 0.47157(0.00000), 0.00089(0.00000)
1, femnist, False, None, natural, True, 1000, 1.0, 1, 3000, 0.01, FedSTC, 500, fedyogi, 0.1, None, None, categorical_crossentropy, ['accuracy'], LeNet, 0.1, 0.82213(0.00000), 164.00000(0.00000), 2047.00000(0.00000), 13.11829(0.00000), 17.95964(0.00000), 0.06021(0.00000), 1.90406(0.00000), 0.35970(0.00000), 0.29423(0.00000), 0.04784(0.00000), 0.79205(0.00000), 0.40209(0.00000), 0.00118(0.00000)
1, femnist, True, None, natural, True, 1000, 1.0, 1, 3000, 0.01, FedSTC, 500, fedyogi, 0.1, None, None, categorical_crossentropy, ['accuracy'], LeNet, 0.1, 0.76246(0.00000), 196.05000(0.00000), 2444.00000(0.00000), 15.65990(0.00000), 21.44749(0.00000), 0.06091(0.00000), 1.90105(0.00000), 0.36159(0.00000), 0.29604(0.00000), 0.04775(0.00000), 0.79163(0.00000), 0.40257(0.00000), 0.00118(0.00000)
1, celeba, False, None, natural, True, 1000, 1.0, 1, 3000, 0.01, FedSTC, 100, fedyogi, 0.1, None, None, categorical_crossentropy, ['accuracy'], LeNet, 0.1, 0.86333(0.00000), 41.35000(0.00000), 408.00000(0.00000), 8.87018(0.00000), 12.03401(0.00000), 0.08566(0.00000), 2.10409(0.00000), 0.51171(0.00000), 0.63151(0.00000), 0.06818(0.00000), 0.76561(0.00000), 0.38177(0.00000), 0.00122(0.00000)
1, celeba, True, None, natural, True, 1000, 1.0, 1, 3000, 0.01, FedSTC, 100, fedyogi, 0.1, None, None, categorical_crossentropy, ['accuracy'], LeNet, 0.1, 0.72333(0.00000), 29.80000(0.00000), 293.00000(0.00000), 6.38800(0.00000), 8.64965(0.00000), 0.08560(0.00000), 2.08472(0.00000), 0.52188(0.00000), 0.64717(0.00000), 0.06764(0.00000), 0.76667(0.00000), 0.38862(0.00000), 0.00125(0.00000)
