dataset, lr, local_loss, local_accuracy, central_loss, central_accuracy
celeba,0.0001,0.736519184,0.55000001,0.367708772,0.873333335
celeba,0.0005,0.91468063,0.443333341,0.446470141,0.893333316
celeba,0.001,1.019272627,0.500000011,0.688929617,0.873333335
celeba,0.005,2.070362858,0.503333344,0.755035818,0.893333316
celeba,0.01,2.119242438,0.556666678,0.570807517,0.926666677
celeba,0.05,2.881309528,0.563333343,1.486126542,0.853333354
celeba,0.1,3.151689112,0.543333343,0.69307977,0.50666666
celeba,0.5,0.694121098,0.496666673,0.682465315,0.573333323
celeba,1, nan,0.443333341,0.790555596,0.526666641
celeba,0.0001,0.760227683,0.553333342,0.381918967,0.860000014
celeba,0.0005,0.912499852,0.446666675,0.581977785,0.860000014
celeba,0.001,1.019164121,0.480000009,0.887900114,0.833333313
celeba,0.005,1.915378469,0.556666676,0.858084023,0.870000005
celeba,0.01,2.686506798,0.496666676,0.777992368,0.906666696
celeba,0.05,2.735752144,0.556666677,1.42167902,0.873333335
celeba,0.1,2.679391993,0.58000001,0.700571954,0.523333311
celeba,0.5, nan,0.536666675,0.703091979,0.526666641
celeba,1, nan,0.490000008,0.72278291,0.436666667
celeba,0.0001,0.707704239,0.510000009,0.370597154,0.876666665
celeba,0.0005,0.913718964,0.570000009,0.315252423,0.903333306
celeba,0.001,0.840518248,0.536666678,0.581829548,0.863333344
celeba,0.005,2.161725586,0.526666679,0.890796006,0.856666684
celeba,0.01,2.616488734,0.550000011,1.12658,0.870000005
celeba,0.05,2.094170017,0.573333343,0.882209957,0.899999976
celeba,0.1,3.392722191,0.543333346,0.688190639,0.550000012
celeba,0.5, nan,0.506666675,0.708960712,0.50999999
celeba,1, nan,0.496666673,0.730313957,0.533333361
celeba,0.0001,0.692323534,0.573333342,0.332868338,0.873333335
celeba,0.0001,0.711697816,0.590000009,0.285322785,0.876666665
celeba,0.0005,0.866710315,0.51000001,0.418226928,0.883333325
celeba,0.001,1.106812293,0.503333344,0.752577245,0.863333344
celeba,0.005,1.911844583,0.546666677,0.817142963,0.879999995
celeba,0.01,2.272294027,0.530000011,0.921589077,0.860000014
celeba,0.05,3.21937344,0.496666678,1.478672504,0.896666646
celeba,0.1,3.017646894,0.610000013,0.690994561,0.536666691
celeba,0.5,0.693359808,0.533333342,0.686694026,0.560000002
celeba,1, nan,0.513333342,0.701312482,0.516666651
celeba,0.0001,0.809293771,0.460000009,0.360368818,0.850000024
celeba,0.0005,0.873280231,0.556666675,0.390209377,0.879999995
celeba,0.001,1.320391601,0.573333343,0.754270613,0.876666665
celeba,0.0001,0.766789592,0.493333341,0.385327756,0.850000024
celeba,0.0005,0.872972647,0.530000009,0.529269695,0.873333335
celeba,0.001,0.929208474,0.516666676,0.620015383,0.860000014
celeba,0.005,2.329989436,0.513333344,0.811226726,0.889999986
celeba,0.01,1.901244644,0.553333344,1.163311958,0.866666675
celeba,0.05,2.332168158,0.566666677,1.73054564,0.876666665
celeba,0.1,2.434487701,0.576666676,0.692432761,0.519999981
celeba,0.5,0.732680542,0.490000008,0.759276509,0.49000001
celeba,1, nan,0.553333342,0.741946757,0.473333329
celeba,0.0001,0.753971409,0.500000009,0.280781239,0.886666656
celeba,0.0005,0.880565262,0.506666676,0.482543796,0.886666656
celeba,0.001,1.201272875,0.57000001,0.753575265,0.873333335
celeba,0.005,1.521921136,0.573333344,0.800663412,0.899999976
